timestamp,round,client_id,ftl_used
2025-04-19T22:25:11.497167,1,1e6d5260e43e4bb79f53863fd7e3023b,False
2025-04-19T22:25:11.497949,1,18f5ccb49c6545e8bc9d829019af24c4,False
2025-04-19T22:25:18.882527,2,1e6d5260e43e4bb79f53863fd7e3023b,False
2025-04-19T22:25:18.882972,2,18f5ccb49c6545e8bc9d829019af24c4,False
2025-04-19T22:25:26.325943,3,1e6d5260e43e4bb79f53863fd7e3023b,False
2025-04-19T22:25:26.326372,3,18f5ccb49c6545e8bc9d829019af24c4,False
2025-04-19T22:25:34.017794,4,1e6d5260e43e4bb79f53863fd7e3023b,False
2025-04-19T22:25:34.018115,4,18f5ccb49c6545e8bc9d829019af24c4,False
2025-04-19T22:25:40.883829,5,1e6d5260e43e4bb79f53863fd7e3023b,False
2025-04-19T22:25:40.884307,5,18f5ccb49c6545e8bc9d829019af24c4,False
2025-04-20T00:22:30.952428,1,540289182ae1422085ed6573505f8608,False
2025-04-20T00:22:30.953323,1,80e528d404da484db4c44605b4fff803,False
2025-04-20T00:22:38.196526,2,540289182ae1422085ed6573505f8608,False
2025-04-20T00:22:38.197069,2,80e528d404da484db4c44605b4fff803,False
2025-04-20T00:22:45.483948,3,80e528d404da484db4c44605b4fff803,False
2025-04-20T00:22:45.484251,3,540289182ae1422085ed6573505f8608,False
2025-04-20T00:22:52.759670,4,540289182ae1422085ed6573505f8608,False
2025-04-20T00:22:52.760232,4,80e528d404da484db4c44605b4fff803,False
2025-04-20T00:23:00.251766,5,540289182ae1422085ed6573505f8608,False
2025-04-20T00:23:00.252629,5,80e528d404da484db4c44605b4fff803,False
2025-04-20T00:25:52.885115,1,ec64bf57519345898f59038b4bc40052,False
2025-04-20T00:25:52.886027,1,01ab844ca68e4fa4be012bcff88e94a9,False
2025-04-20T00:26:00.429397,2,01ab844ca68e4fa4be012bcff88e94a9,False
2025-04-20T00:26:00.429697,2,ec64bf57519345898f59038b4bc40052,False
2025-04-20T00:26:08.221052,3,01ab844ca68e4fa4be012bcff88e94a9,False
2025-04-20T00:26:08.222300,3,ec64bf57519345898f59038b4bc40052,False
2025-04-20T00:26:17.038550,4,ec64bf57519345898f59038b4bc40052,False
2025-04-20T00:26:17.039384,4,01ab844ca68e4fa4be012bcff88e94a9,False
2025-04-20T00:26:25.365496,5,dd899ba7b0404ff18a2386fcf746805e,False
2025-04-20T00:26:25.366271,5,01ab844ca68e4fa4be012bcff88e94a9,False
2025-04-20T00:26:25.366516,5,ec64bf57519345898f59038b4bc40052,False
