round,avg_loss,avg_accuracy
1,0.1554384070241338,95.41187422142687
2,0.08871379439771773,96.72410394102573
3,0.07442840511327084,97.05981091325864
4,0.06760811090224064,97.26548276704102
5,0.06722522326773116,97.34282198072168
